geography,geographic_area_name,estimate_,margin_of_error_,estimate_citizen_born_in_us,margin_of_error_citizen_born_in_us,estimate_citizen_born_in_puerto_rico_orisland_areas,margin_of_error_citizen_born_in_puerto_rico_orisland_areas,estimate_citizen_born_abroad_of_american_parent_s_,margin_of_error_citizen_born_abroad_of_american_parent_s_,estimate_citizen_by_naturalization,margin_of_error_citizen_by_naturalization,estimate_not_a_citizen,margin_of_error_not_a_citizen,prop_citizen_born_in_us,prop_citizen_born_in_puerto_rico_orisland_areas,prop_citizen_born_abroad_of_american_parent_s_,prop_citizen_by_naturalization,prop_not_a_citizen
0500000US12061,"Indian River County, Florida",172139.0,*****,146667.0,3570.0,2030.0,1217.0,1617.0,684.0,14720.0,3137.0,7105.0,1805.0,0.8520265599312183,0.01179279535724037,0.009393571474215604,0.08551228948698436,0.04127478375034129
0500000US12069,"Lake County, Florida",444204.0,*****,369339.0,8127.0,22742.0,4880.0,5995.0,2143.0,25120.0,3301.0,21008.0,5472.0,0.8314625712510468,0.05119719768394702,0.013496051363787809,0.05655059387128437,0.047293585829933996
0500000US12071,"Lee County, Florida",860959.0,*****,654673.0,8400.0,15751.0,4435.0,12392.0,2325.0,82189.0,6188.0,95954.0,7753.0,0.7603997402896073,0.018294715543945763,0.014393252175771436,0.09546215325003862,0.11145013874063689
0500000US12073,"Leon County, Florida",300488.0,*****,269313.0,3692.0,2061.0,897.0,4400.0,1258.0,12136.0,2482.0,12578.0,2922.0,0.8962520965895476,0.00685884294880328,0.014642847634514523,0.040387636111924606,0.04185857671520993
0500000US12081,"Manatee County, Florida",458352.0,*****,370051.0,5414.0,4606.0,1422.0,4915.0,1787.0,36387.0,3818.0,42393.0,5164.0,0.8073511187907983,0.010049045275246972,0.01072319963696024,0.0793865849827207,0.09249005131427375
0500000US12083,"Marion County, Florida",428905.0,*****,353656.0,6611.0,23508.0,5541.0,6529.0,2694.0,25373.0,3225.0,19839.0,3592.0,0.8245555542602674,0.05480934006365046,0.015222485165712688,0.05915762231729637,0.046254998193073056
0500000US12085,"Martin County, Florida",165666.0,*****,143997.0,2363.0,1068.0,916.0,1257.0,569.0,10177.0,1635.0,9167.0,2032.0,0.8692006808880519,0.006446706022961863,0.007587555684328709,0.06143083070756824,0.055334226697089324
0500000US12086,"Miami-Dade County, Florida",2838461.0,*****,1177223.0,15839.0,42447.0,6203.0,48621.0,5856.0,899327.0,15201.0,670843.0,20822.0,0.4147398889750467,0.014954230479122314,0.017129352842966666,0.3168361305651196,0.2363403971377447
0500000US12087,"Monroe County, Florida",80908.0,*****,62528.0,3173.0,445.0,294.0,1427.0,722.0,12154.0,3032.0,4354.0,1657.0,0.772828397686261,0.005500074158303258,0.017637316458199437,0.15022000296633212,0.053814208730904235
0500000US12089,"Nassau County, Florida",104376.0,*****,97987.0,1778.0,809.0,677.0,1678.0,810.0,3046.0,1629.0,856.0,532.0,0.938788610408523,0.007750823944201732,0.01607649268030965,0.029182953935770674,0.008201119031194911
0500000US12091,"Okaloosa County, Florida",220483.0,*****,185209.0,4246.0,2839.0,1140.0,6098.0,1389.0,10466.0,1612.0,15871.0,3758.0,0.8400148764303824,0.012876276175487452,0.027657461119451388,0.04746851231160679,0.07198287396307199
0500000US12095,"Orange County, Florida",1533646.0,*****,1002331.0,16855.0,94761.0,9476.0,30573.0,5737.0,178694.0,10647.0,227287.0,18426.0,0.6535608608505483,0.061788052784019255,0.019934848067937452,0.11651580612475108,0.1482004321727439
0500000US12097,"Osceola County, Florida",468058.0,*****,250993.0,12810.0,63715.0,9876.0,9462.0,2616.0,63796.0,7086.0,80092.0,13405.0,0.5362433715479705,0.13612629204072998,0.02021544338522149,0.13629934751676073,0.17111554550931724
0500000US12099,"Palm Beach County, Florida",1582055.0,*****,1079199.0,15855.0,17063.0,3625.0,25791.0,4104.0,239173.0,9647.0,220829.0,15206.0,0.682150114882226,0.010785339321325743,0.01630221452477948,0.15117868847796062,0.1395836427937082
0500000US12101,"Pasco County, Florida",659114.0,*****,547038.0,7293.0,18621.0,4399.0,8473.0,2344.0,50042.0,5096.0,34940.0,5480.0,0.8299596124494397,0.028251561945278055,0.01285513583386182,0.07592313317574804,0.05301055659567237
0500000US12103,"Pinellas County, Florida",965870.0,*****,818772.0,7613.0,12049.0,2323.0,12341.0,2410.0,82538.0,5686.0,40170.0,5138.0,0.8477041423794093,0.012474763684553821,0.012777081801898807,0.0854545642788367,0.041589447855301435
0500000US12105,"Polk County, Florida",852878.0,*****,648825.0,10520.0,60405.0,8624.0,11583.0,3456.0,63138.0,6670.0,68927.0,12965.0,0.7607477271075113,0.0708249010995711,0.013581074901685822,0.07402934534599322,0.08081695154523859
